lecturer_number,course_code
202110001,GES2414
202110001,GES2323
202110001,GES4522
20240220,GES2535
20240220,GES3475
202111005,GES3331
202111005,GES3333
20240518,GES2302
20240518,PG3321
202209021,PG3341
202209021,PG4341
20240303,ES2301
20240303,GES3392
202210011,MGM2302
201611058,BNS3303
201611058,BMN2302
201611058,NRS5303
201611058,NRS5304
201611058,NRS5307
200303007,DS1301
200303007,DS4301
200303007,DS4302
200303007,DS4303
200303007,DS621
200303007,DS620
198808530,DS2303
198808530,DS3306
198808530,DS613
198808530,DS3303
198808530,DS620
202109011,DS3302
202109011,DS4306
202109011,DS621
202109011,DS624
202109011,DS627
202109011,DS614
201509003,DS3301
202011004,DS4309
202011004,DS2306
202011004,DS4307
202208002,DS2302
202208002,DS1302
202208002,DS619
202208002,DS623
200301010,DS4304
200301010,DS618
200301010,DS615
201712054,DS2304
201712054,DS3304
201712054,DS4305
201812104,DS3305
201812104,DS4308
201812104,DS2301
199112668,ABE4300
199112668,ABE4302
201801055,NRS2303
201801055,NRS3308
201801055,BNS1302
199501789,C2710
199501789,CHT3650
201402050,SW4304
201402050,SW2305
201402050,SW3302
201109047,PHA 6301
201109047,PHA 6302
201109047,PHA 6304
200109027,POP 5405
200109027,PIP 5404
200109027,PHA 6303
200109027,PHA 6304
201710008,PIP 5401
201710008,PHA 6304
201109048,PIP 5402
201109048,POP 5404
202206001,DPM0303
201901001,ADE4401
201104023,ANT2301
201104023,EH4303
202109010,EC2501
202109010,EC4303
200402004,EC3307
200402004,EC4323
201811007,EC3303
201811007,EC4309
202001002,BEP1304
201902029,BEP1301
202111002,BEP1302
202401006,BEP1305
199401753,EC1401
202309002,EC1511
202309002,EC2301
202109010,EC2501
200511025,EC3301
201811007,EC3303
202303008,EC3305
200402004,EC3307
202303008,EC3309
201811007,EC4300
202303008,EC4401
202109010,EC4303
201309024,EC4305
202303007,EC4307
201811007,EC4309
200909061,EC4311
200910087,EC4321
200402004,EC4323
200910087,EC6303
200909061,EC6305
200910087,EC6305
